Merrell Siltwater Wrap Grey Floaters;Stay stylish this summer season by wearing this pair of ‘Siltwater Wrap’ floaters for men by Merrell. Featuring synthetic upper and lining to ensure lightweight comfort for your feet, these grey floaters have a Velcro closure to ensure a customised fit. The slip-resistant TPR (thermoplastic rubber) outsole further ensures better flexibility and traction.   Features: ;http://www.jabong.com/merrell-Siltwater-Wrap-Grey-Floaters-603253.html;5599.0;5599.0
Merrell Siltwater Wrap Black Floaters;Walk in style and with confidence wearing these black coloured 'Stillwater Wrap' floaters from the house of Merrell. The synthetic upper and lining offer durability and sturdiness. The TPR (thermoplastic rubber) sole will keep your feet comfortable all day long.;http://www.jabong.com/merrell-Siltwater-Wrap-Black-Floaters-603254.html;5599.0;5599.0
Diadora Tokyo Navy Blue Running Shoes;A blend of utility and style, this pair of ‘Tokyo’ running shoes by Diadora will surely take your running experience to the next level. Featuring synthetic upper and lining, these navy blue lace-ups for men ensure lightweight comfort for your feet. The rubber outsole promises the best traction on all kinds of surfaces. Features: ;http://www.jabong.com/diadora-Tokyo-Navy-Blue-Running-Shoes-616782.html;2699.0;2699.0
Diadora Tokyo Black Running Shoes;A blend of utility and style, this pair of ‘Tokyo’ running shoes by Diadora will surely take your running experience to the next level. Featuring synthetic upper and lining, these black lace-ups for men ensure lightweight comfort for your feet. The rubber outsole also promises the best traction on all kinds of surfaces. Features: ;http://www.jabong.com/diadora-Tokyo-Black-Running-Shoes-616783.html;2699.0;2699.0
Ruosh Black Dress Shoes;Look stylish in a formal look by wearing this pair of black coloured dress shoes for men from RUOSH. The leather upper of this pair features a classic design to make it worth a buy. Featuring a TPR (thermoplastic rubber) sole, this pair ensures maximum feet flexibility and traction while walking. ;http://www.jabong.com/ruosh-Black-Dress-Shoes-625772.html;3990.0;3990.0
Ruosh Brown Dress Shoes;RUOSH offers these classy, brown coloured dress shoes that are something every fashion-forward man would love to own and wear.  Featuring leather upper and lining, these slip-ons are classy and durable.  Stylish and comfortable, these shoes have a flexible and abrasion-resistant TPR (thermoplastic rubber) sole that assures perfect grip and adaptability even on irregular surfaces.     ;http://www.jabong.com/ruosh-Brown-Dress-Shoes-625773.html;3990.0;3990.0
Diadora Rapido Black Sneakers;Encapsulate an ultimate look when you wear this pair of sneakers by Diadora. Let every nerve in your feet the sing the song of comfort as you adorn this pair of sneakers. Club these sneakers with any casual outfit to complete your look for the day. ;http://www.jabong.com/diadora-Rapido-Black-Sneakers-616780.html;2299.0;2299.0
Diadora Rapido Navy Blue Sneakers;Encapsulate an ultimate look when you adorn this pair of sneakers by Diadora. Feel out-of-the-world comfort wearing this pair of sneakers with a rubber sole. Club these sneakers with a casual outfit to complete your look for the day. ;http://www.jabong.com/diadora-Rapido-Navy-Blue-Sneakers-616779.html;2299.0;2299.0
Diadora Rapido Blue Sneakers;Step out in style when you wear this pair of blue coloured sneakers by Diadora. Designed as per the latest trend, this pair is not only stylish, but also highly comfortable. Club these sneakers with your outfit to add a refined finish to your overall look for the day. ;http://www.jabong.com/diadora-Rapido-Blue-Sneakers-616781.html;2299.0;2299.0
Clarks Marcos Drive Brown Moccasins;Keep your high-flying style intact with this pair of brown coloured moccasins by Clarks. Offering you a comfortable fit and exceptional style, these moccasins will become your favourite in no time. Wear it to office and make a distinguished style statement. ;http://www.jabong.com/Clarks-Marcos-Drive-Brown-Moccasins-623811.html;5999.0;5999.0
Fila Shanley Black Running Shoes;FILA offers these ‘Shanley’ running shoes that are all you need to stay focussed during your workout sessions. Lightweight and flexible, these black coloured lace-ups will become your favourite in no time. Features:    ;http://www.jabong.com/Fila-Shanley-Black-Running-Shoes-630101.html;2799.0;2799.0
Fila Shanley Blue Running Shoes;It’s time to get ready for a morning walk wearing these ‘Shanley’ running shoes from FILA. Stylish and comfortable, these lace-ups are a must-have in your footwear collection. Other specifications: ;http://www.jabong.com/Fila-Shanley-Blue-Running-Shoes-630102.html;2799.0;2799.0
Clarks Marcos Drive Black Moccasins;Let the cosmopolitan vibe fly high wearing this pair of black coloured moccasins by Clarks. The leather upper provides durability and stylish looks, while the TPR (thermoplastic rubber) sole ensures high comfort to the wearer. Include these in your footwear collection and pair these with all your outfits. ;http://www.jabong.com/Clarks-Marcos-Drive-Black-Moccasins-623810.html;5999.0;5999.0
Merrell Siltwater Strap Grey Floaters;Look your best with this pair of grey coloured floaters by Merrell. Offering you great fit and comfort, these floaters can be comfortably worn all day long. An all-weather staple, this pair can be teamed with your varied outfits. ;http://www.jabong.com/merrell-Siltwater-Strap-Grey-Floaters-603256.html;4999.0;4999.0
Merrell Siltwater Strap Black Floaters;Avert from the usual wearing these Merrell floaters in black colour. Offering you great fit and comfort, these floaters can be comfortably worn all day long. Team up this pair with your favourite outfit to look smart and handsome. ;http://www.jabong.com/merrell-Siltwater-Strap-Black-Floaters-603255.html;4999.0;4999.0
Gas Buggey Napa Black Loafers;Keep your high-flying style intact when you wear this pair of black coloured loafers by GAS. Designed for fashion-forward men, these loafers feature a genuine leather upper that has an excellent finish and a synthetic lining for added comfort. Wear this pair of loafers with chinos and a crisp white shirt for a smart look. ;http://www.jabong.com/Gas-Buggey-Napa-Black-Loafers-624779.html;3499.0;3499.0
Gas Buggey Napa Khaki Loafers;Step out in style with this pair of khaki coloured loafers by GAS. With sophisticated, timeless style, this pair of loafers features a TPR sole that will provide the ultimate traction on wet and dry surfaces. Take a plunge into the world of style clubbing this pair with in-style apparel and accessories of the season. ;http://www.jabong.com/Gas-Buggey-Napa-Khaki-Loafers-624780.html;3499.0;3499.0
